time,X-axis,Y-axis,Z-axis
Sat Apr  6 19:10:22 2019,662,648,525
Sat Apr  6 19:10:22 2019,658,648,529
Sat Apr  6 19:10:23 2019,656,646,528
Sat Apr  6 19:10:23 2019,661,644,529
Sat Apr  6 19:10:23 2019,659,645,527
Sat Apr  6 19:10:24 2019,661,648,526
Sat Apr  6 19:10:24 2019,659,649,528
Sat Apr  6 19:10:24 2019,657,649,529
Sat Apr  6 19:10:24 2019,659,646,531
Sat Apr  6 19:10:25 2019,661,645,527
Sat Apr  6 19:10:25 2019,661,647,526
Sat Apr  6 19:10:25 2019,660,647,528
Sat Apr  6 19:10:26 2019,658,649,529
Sat Apr  6 19:10:26 2019,657,646,529
Sat Apr  6 19:10:26 2019,660,645,527
Sat Apr  6 19:10:27 2019,661,647,526
Sat Apr  6 19:10:27 2019,661,648,527
Sat Apr  6 19:10:27 2019,658,648,529
Sat Apr  6 19:10:28 2019,657,646,529
Sat Apr  6 19:10:28 2019,660,644,529
Sat Apr  6 19:10:28 2019,661,646,527
Sat Apr  6 19:10:29 2019,662,648,527
Sat Apr  6 19:10:29 2019,658,648,529
Sat Apr  6 19:10:29 2019,657,648,529
Sat Apr  6 19:10:30 2019,659,645,530
Sat Apr  6 19:10:30 2019,661,645,527
Sat Apr  6 19:10:30 2019,661,648,527
Sat Apr  6 19:10:30 2019,659,648,528
Sat Apr  6 19:10:31 2019,657,648,529
Sat Apr  6 19:10:31 2019,658,645,529
Sat Apr  6 19:10:31 2019,660,645,527
Sat Apr  6 19:10:32 2019,661,647,525
Sat Apr  6 19:10:32 2019,660,648,528
Sat Apr  6 19:10:32 2019,658,648,529
Sat Apr  6 19:10:33 2019,657,646,529
Sat Apr  6 19:10:33 2019,660,645,528
Sat Apr  6 19:10:33 2019,661,647,527
Sat Apr  6 19:10:34 2019,662,649,527
Sat Apr  6 19:10:34 2019,658,648,529
Sat Apr  6 19:10:34 2019,657,646,529
Sat Apr  6 19:10:35 2019,659,645,530
Sat Apr  6 19:10:35 2019,661,645,527
Sat Apr  6 19:10:35 2019,661,648,527
Sat Apr  6 19:10:36 2019,659,649,529
Sat Apr  6 19:10:36 2019,657,648,529
Sat Apr  6 19:10:36 2019,659,645,530
Sat Apr  6 19:10:36 2019,661,645,527
Sat Apr  6 19:10:37 2019,661,647,526
Sat Apr  6 19:10:37 2019,660,648,528
Sat Apr  6 19:10:37 2019,658,648,529
Sat Apr  6 19:10:38 2019,657,645,530
Sat Apr  6 19:10:38 2019,660,645,528
Sat Apr  6 19:10:38 2019,661,647,527
Sat Apr  6 19:10:39 2019,661,648,527
Sat Apr  6 19:10:39 2019,658,649,528
Sat Apr  6 19:10:39 2019,658,646,529
Sat Apr  6 19:10:40 2019,660,645,529
Sat Apr  6 19:10:40 2019,661,647,526
Sat Apr  6 19:10:40 2019,661,648,526
Sat Apr  6 19:10:41 2019,658,649,528
Sat Apr  6 19:10:41 2019,658,648,529
Sat Apr  6 19:10:41 2019,659,645,530
Sat Apr  6 19:10:42 2019,661,645,527
Sat Apr  6 19:10:42 2019,661,648,526
Sat Apr  6 19:10:42 2019,660,649,528
Sat Apr  6 19:10:42 2019,657,649,529
Sat Apr  6 19:10:43 2019,658,645,529
Sat Apr  6 19:10:43 2019,660,645,527
Sat Apr  6 19:10:43 2019,660,647,526
Sat Apr  6 19:10:44 2019,660,648,528
Sat Apr  6 19:10:44 2019,657,649,529
Sat Apr  6 19:10:44 2019,658,646,529
Sat Apr  6 19:10:45 2019,660,645,528
Sat Apr  6 19:10:45 2019,661,647,527
Sat Apr  6 19:10:45 2019,662,648,527
Sat Apr  6 19:10:46 2019,659,648,529
Sat Apr  6 19:10:46 2019,658,646,529
Sat Apr  6 19:10:46 2019,660,645,529
Sat Apr  6 19:10:47 2019,660,646,526
Sat Apr  6 19:10:47 2019,660,648,526
Sat Apr  6 19:10:47 2019,658,648,529
Sat Apr  6 19:10:48 2019,658,647,529
Sat Apr  6 19:10:48 2019,659,645,529
Sat Apr  6 19:10:48 2019,660,645,527
Sat Apr  6 19:10:49 2019,661,647,527
Sat Apr  6 19:10:49 2019,659,649,528
