time,X-axis,Y-axis,Z-axis,anomaly_score
Wed Apr 24 17:48:57 2019,655,663,514,1
Wed Apr 24 17:48:58 2019,657,663,510,1
Wed Apr 24 17:48:58 2019,665,650,540,1
Wed Apr 24 17:48:58 2019,652,669,523,1
Wed Apr 24 17:48:59 2019,659,656,513,1
Wed Apr 24 17:48:59 2019,663,640,525,1
Wed Apr 24 17:48:59 2019,652,671,543,1
Wed Apr 24 17:49:00 2019,657,668,491,1
Wed Apr 24 17:49:00 2019,649,655,511,1
Wed Apr 24 17:49:00 2019,668,666,533,1
Wed Apr 24 17:49:01 2019,661,680,517,1
Wed Apr 24 17:49:01 2019,663,662,536,1
Wed Apr 24 17:49:01 2019,661,641,532,1
Wed Apr 24 17:49:02 2019,665,671,547,1
Wed Apr 24 17:49:02 2019,656,669,510,1
Wed Apr 24 17:49:02 2019,645,664,506,1
Wed Apr 24 17:49:02 2019,666,653,536,1
Wed Apr 24 17:49:03 2019,664,698,518,1
Wed Apr 24 17:49:03 2019,655,667,541,1
Wed Apr 24 17:49:03 2019,667,629,526,1
Wed Apr 24 17:49:04 2019,660,681,546,1
Wed Apr 24 17:49:04 2019,662,658,531,1
Wed Apr 24 17:49:04 2019,658,656,515,1
Wed Apr 24 17:49:05 2019,663,637,536,1
Wed Apr 24 17:49:05 2019,662,693,507,1
Wed Apr 24 17:49:05 2019,652,656,530,1
Wed Apr 24 17:49:06 2019,655,658,518,1
Wed Apr 24 17:49:06 2019,664,687,538,1
Wed Apr 24 17:49:06 2019,660,698,537,1
Wed Apr 24 17:49:07 2019,662,652,520,1
Wed Apr 24 17:49:07 2019,668,691,511,1
Wed Apr 24 17:49:07 2019,664,686,532,1
Wed Apr 24 17:49:08 2019,658,660,524,1
Wed Apr 24 17:49:08 2019,664,652,546,1
Wed Apr 24 17:49:08 2019,659,638,531,1
Wed Apr 24 17:49:08 2019,650,676,523,1
Wed Apr 24 17:49:09 2019,655,642,515,1
Wed Apr 24 17:49:09 2019,655,683,536,1
Wed Apr 24 17:49:09 2019,666,676,540,1
Wed Apr 24 17:49:10 2019,663,655,564,-1
Wed Apr 24 17:49:10 2019,650,658,559,-1
Wed Apr 24 17:49:10 2019,665,658,519,1
Wed Apr 24 17:49:11 2019,662,700,526,-1
Wed Apr 24 17:49:11 2019,663,635,532,1
Wed Apr 24 17:49:11 2019,659,663,547,1
Wed Apr 24 17:49:12 2019,651,648,518,1
Wed Apr 24 17:49:12 2019,668,667,508,1
Wed Apr 24 17:49:12 2019,664,658,547,1
Wed Apr 24 17:49:13 2019,658,677,517,1
Wed Apr 24 17:49:13 2019,658,691,514,1
Wed Apr 24 17:49:13 2019,667,640,516,1
Wed Apr 24 17:49:14 2019,657,685,531,1
Wed Apr 24 17:49:14 2019,659,657,531,1
Wed Apr 24 17:49:14 2019,661,668,496,1
Wed Apr 24 17:49:15 2019,670,654,539,1
Wed Apr 24 17:49:15 2019,654,656,521,1
Wed Apr 24 17:49:15 2019,658,690,522,1
Wed Apr 24 17:49:15 2019,663,648,530,1
Wed Apr 24 17:49:16 2019,647,664,530,1
Wed Apr 24 17:49:16 2019,662,672,542,1
